id,date,message_type,message_content,media_path
664861,2025-02-02T17:28:28+00:00,text,Just stay active and chat tasya and claim up rank,
664860,2025-02-02T17:28:25+00:00,text,Whyy,
664859,2025-02-02T17:28:21+00:00,text,U drama?!,
664858,2025-02-02T17:28:19+00:00,sticker,[STICKER] CAADBQADBgQAAuP3iFZkjKzdR_ow-wI,media/sticker_664858.webp
664857,2025-02-02T17:28:19+00:00,text,Not interested anymore 😔,
664856,2025-02-02T17:28:11+00:00,text,you need to end your rank under 50 to win the contest,
664855,2025-02-02T17:28:09+00:00,text,"If you don't want to be tagged, follow the rules, bro haha lol😂",
664854,2025-02-02T17:28:09+00:00,text,Let's work hard,
664853,2025-02-02T17:28:05+00:00,text,Why bro,
664852,2025-02-02T17:28:01+00:00,text,Stay safe,
664851,2025-02-02T17:27:58+00:00,text,Mm let me donate some food 😂,
664850,2025-02-02T17:27:49+00:00,text,yess buddy,
664849,2025-02-02T17:27:48+00:00,text,Stay healthy,
664848,2025-02-02T17:27:46+00:00,text,Please Guys teach me how to win event,
664847,2025-02-02T17:27:45+00:00,text,"I will stop sending sms  from now , have Fun 😊",
664846,2025-02-02T17:27:40+00:00,text,Donate,
664845,2025-02-02T17:27:38+00:00,sticker,[STICKER] BAADBAADexUAAkejCVNXPSJ4GPFRjQI,media/sticker_664845.webp
664844,2025-02-02T17:27:36+00:00,text,Genesis is on the top,
664843,2025-02-02T17:27:31+00:00,text,"Homeless are fighting, c'mon u need to save them🥲",
664842,2025-02-02T17:27:31+00:00,text,Let's go to the moon,
664841,2025-02-02T17:27:28+00:00,sticker,[STICKER] CAADBQAD0wMAAnxUGFeIXgHIWZaowwI,media/sticker_664841.webp
664840,2025-02-02T17:27:09+00:00,text,Genesis to the moon 🌚,
664839,2025-02-02T17:27:05+00:00,sticker,[STICKER] CAADBQADxBIAAgIT8VTdq-8JWe65GwI,media/sticker_664839.webp
664838,2025-02-02T17:26:59+00:00,sticker,[STICKER] CAADBAADTQ0AAoHiUFHmAqygEA-P-QI,media/sticker_664838.webp
664837,2025-02-02T17:26:53+00:00,text,What u say 🥹,
664836,2025-02-02T17:26:43+00:00,text,Loll 😂,
664835,2025-02-02T17:26:36+00:00,text,This guy is really blind and want to make drama.! Don't tag me again if u want Drama here,
664834,2025-02-02T17:26:35+00:00,text,Am using Meta ai bro srry,
664833,2025-02-02T17:26:29+00:00,text,Save them,
664832,2025-02-02T17:26:16+00:00,text,Ewwww what's that brother,
664831,2025-02-02T17:26:10+00:00,text,In real life ?,
664830,2025-02-02T17:26:05+00:00,text,Oh so using your local language is allowed while others are not.. okay then 👌,
664829,2025-02-02T17:26:05+00:00,text,Hi trina,
664828,2025-02-02T17:25:56+00:00,sticker,[STICKER] CAADBQADmwgAAoxz6FUgfbgQTd7x_AI,media/sticker_664828.webp
664826,2025-02-02T17:25:53+00:00,file,[FILE] Unnamed file,media/video_664826.mp4
664825,2025-02-02T17:25:52+00:00,text,Good night see you,
664824,2025-02-02T17:25:44+00:00,text,Lol she is my sis bro,
664823,2025-02-02T17:25:44+00:00,text,Good night lady killer fan,
664822,2025-02-02T17:25:41+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,media/sticker_664822.webp
664821,2025-02-02T17:25:32+00:00,text,Okay dude,
664820,2025-02-02T17:25:29+00:00,text,What,
664819,2025-02-02T17:25:28+00:00,text,Ohh,
664818,2025-02-02T17:25:27+00:00,text,Lol 😆 she is now university student who told you class 8,
664817,2025-02-02T17:25:24+00:00,text,2 more dayss,
664816,2025-02-02T17:25:18+00:00,text,Good night everyone ☺️,
664815,2025-02-02T17:25:11+00:00,text,"Anyway bro I enjoyed chatting with you , So I'm out of this campaign, Bye bye ,💖💖, I will not chat anymore , for Time being, Good luck brothers ,",
664814,2025-02-02T17:25:08+00:00,text,What is that brothe,
664813,2025-02-02T17:25:08+00:00,text,Aritra is going to a science trip he is coming here 5th february,
664812,2025-02-02T17:24:55+00:00,sticker,[STICKER] BAADBQAD2w8AAkS6SFTWs0tx-wWlCQI,media/sticker_664812.webp
664811,2025-02-02T17:24:50+00:00,text,🪔,
664810,2025-02-02T17:24:41+00:00,text,Yeahhh budddy,
664809,2025-02-02T17:24:39+00:00,text,What the,
664808,2025-02-02T17:24:35+00:00,text,"Bro I didn't seen aritra for a while, also sanjib today",
664807,2025-02-02T17:24:34+00:00,text,Maya,
664806,2025-02-02T17:24:30+00:00,text,😂,
664805,2025-02-02T17:24:28+00:00,text,If u chat it'll definitely,
664804,2025-02-02T17:24:28+00:00,text,Who ?,
664803,2025-02-02T17:24:26+00:00,text,Yeah buddy sure,
